Kata do Iniciante: v1.ERServ234ERServ234ERSB
Pressão Forma 1: v1.ERSERSeErRvS3RS4SE2ERg
Pressão Forma 2: v1.EPERSErRvSeEPERS3RSERC
Pressão Forma 3: v1.DEQRSeDErQRvS2EQ3RSeEy
Pressão Forma 4: v1.ERSERvSeErRSER2eERSERS
Pressão Forma 5: v1.ERSERSeErRvSERSERSERSi
Muralha Forma 1: v1.fstfstERSfstERS234fstT
Muralha Forma 2: v1.ERSERSfRSfqERuS34ERS26
Muralha Forma 3: v1.eErRvSeErRvS234eErRvSC
Muralha Forma 4: v1.ERSfstERSfstERSfstfstV
Muralha Forma 5: v1.eErRvSERSfstERS234SERx
Fluidez Forma 1: v1.2E3R4S2e3r4v2E3R4S234m
Fluidez Forma 2: v1.23E34R2S23E34R2S23EervP
Fluidez Forma 3: v1.2eE3rR4vS2eE3rR4vS234z
Fluidez Forma 4: v1.2E3R4S2E3R4S2E3R4Sfsts7
Fluidez Forma 5: v1.2E3R4SeRv2E3R4SeRv2E3R4Sn
Ruptura Forma 1: v1.e2Er3Rv4Se2Er3Rv4S234L
Ruptura Forma 2: v1.EfRsStEfRsSt2349
Ruptura Forma 3: v1.E2R3S4ervE2R3S4o
Ruptura Forma 4: v1.ERS234ERS234ERS234q
Ruptura Forma 5: v1.ERSfst234ERSfstM
Kata Supremo: v1.ERSfst234ERSque234DYY5
